date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season,heat_stress_index,drought_index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,temp_2m_scaled,precip_scaled,humidity_2m_scaled,windspeed_10m_scaled,windspeed_50m_scaled,earthskintemp_scaled,heat_stress_index_scaled,drought_index_scaled
2006-05-17,Nawalparasi,27.6,84.0,0.16,92.48,11.98,43.8,29.14,15.46,35.14,23.8,11.34,30.7,2.32,3.76,0.91,2.85,2.8,3.84,1.04,2.8,2006,5,17,Spring,30.338,1.831560555878324,0,0,25.19,0.22,13.68,2.5599999999999996,3.8,0.838800374882849,0.007239819004524887,0.5689914701455094,0.25117370892018775,0.23076923076923075,0.8392558528428093,0.850386811567508,0.873095208641309
1995-09-14,Nawalparasi,27.6,84.0,0.29,92.32,16.16,74.65,25.06,20.14,29.74,21.13,8.61,25.62,1.81,3.21,0.78,2.43,2.35,3.42,0.7,2.72,1995,9,14,Autumn,26.676,1.7300830764141861,1,0,29.14,0.16,4.919999999999998,2.08,3.315,0.7432052483598874,0.013122171945701356,0.7787255393878576,0.13145539906103287,0.1601255886970173,0.7330685618729097,0.7660710996500275,0.792981941026985
1990-10-11,Nawalparasi,27.6,84.0,0.0,92.9,13.26,72.14,22.48,17.06,27.29,18.8,8.49,22.25,1.58,3.01,0.22,2.8,1.96,3.55,0.31,3.24,1990,10,11,Autumn,23.806,1.6827553889409559,0,0,25.06,0.29,5.420000000000002,1.77,3.28,0.6827553889409559,0.0,0.6332162568991471,0.07746478873239437,0.09890109890109891,0.6626254180602007,0.6999907902007736,0.7556182253323126
1993-06-23,Nawalparasi,27.6,84.0,0.12,91.91,13.46,43.3,31.24,17.13,37.32,25.26,12.06,33.19,2.34,3.5,0.67,2.84,2.74,3.66,1.24,2.42,1993,6,23,Monsoon,32.586,1.8825738845750972,1,0,22.48,0.0,14.11,2.54,3.58,0.8880037488284909,0.005429864253393665,0.6432513798294031,0.2558685446009389,0.22135007849293567,0.8913043478260869,0.9021458832197458,0.9133686217706366
2000-05-02,Nawalparasi,27.6,84.0,0.03,92.15,3.28,12.12,28.98,-3.17,37.44,20.58,16.86,29.48,3.21,5.5,1.76,3.74,3.92,5.37,2.41,2.96,2000,5,2,Spring,29.308,1.833694080328404,0,0,31.24,0.12,32.15,3.565,5.4350000000000005,0.8350515463917525,0.0013574660633484162,0.1324636226793778,0.460093896713615,0.4065934065934066,0.8137541806020067,0.8266715785595875,0.8747795588649602
2016-07-28,Nawalparasi,27.6,84.0,15.98,92.21,19.02,93.78,23.92,22.72,25.96,22.34,3.62,23.95,2.03,3.02,1.2,1.82,2.89,3.5,2.21,1.3,2016,7,28,Monsoon,25.822000000000003,0.9934179222839016,1,0,28.98,0.03,1.2000000000000028,2.46,3.26,0.7164948453608246,0.7230769230769231,0.9222277972905168,0.1830985915492957,0.2448979591836735,0.6981605351170568,0.7464081783017131,0.21140804949331393
2015-05-12,Nawalparasi,27.6,84.0,3.7,92.34,11.64,48.57,26.85,14.9,33.32,20.68,12.63,27.33,2.76,4.96,0.66,4.3,3.51,5.2,0.82,4.39,2015,5,12,Spring,28.014000000000003,1.6177244526243921,0,0,23.92,15.98,11.950000000000001,3.135,5.08,0.78514526710403,0.16742081447963802,0.5519317611640744,0.3544600938967135,0.3422291993720564,0.7688127090301002,0.7968778780622583,0.7042783533543128
1993-12-04,Nuwakot,27.8,85.2,0.0,84.25,2.53,23.74,12.42,-7.65,19.94,7.86,12.07,8.5,1.72,4.05,0.22,3.83,1.71,3.32,0.33,2.98,1993,12,4,Winter,12.673,1.4470477975632614,0,1,26.85,3.7,20.07,1.7149999999999999,3.6849999999999996,0.4470477975632614,0.0,0.0948319116909182,0.11032863849765256,0.059654631083202486,0.37520903010033446,0.44365905323263954,0.569534520391234
1995-05-02,Nuwakot,27.8,85.2,0.06,83.79,4.08,18.09,24.26,-1.6,32.86,16.39,16.47,24.97,3.87,8.43,0.87,7.56,4.58,9.09,1.14,7.95,1995,5,2,Spring,24.668000000000003,1.721746173777708,0,0,12.42,0.0,25.860000000000003,4.225,8.76,0.7244611059044048,0.0027149321266968325,0.1726041144004014,0.6150234741784038,0.5102040816326531,0.7194816053511706,0.7198379075336159,0.7864002194911562
1986-09-17,Nuwakot,27.8,85.2,0.69,83.96,12.83,76.42,19.36,14.54,24.45,15.44,9.02,19.77,2.15,4.67,0.12,4.55,2.17,3.84,0.21,3.63,1986,9,17,Autumn,20.643,1.5784315139075598,1,0,24.26,0.06,4.82,2.16,4.255,0.6096532333645734,0.03122171945701357,0.6116407425990968,0.21126760563380276,0.13186813186813187,0.6107859531772575,0.6271643028181986,0.6732578182425072
2006-05-17,Nuwakot,27.8,85.2,0.25,84.06,11.37,54.64,22.89,12.98,28.6,17.72,10.88,24.81,2.43,4.86,0.76,4.1,2.38,4.32,0.8,3.52,2006,5,17,Spring,24.027,1.6810495447548206,0,0,19.36,0.69,9.91,2.4050000000000002,4.59,0.6923617619493907,0.011312217194570135,0.5383843452082289,0.27699530516431925,0.16483516483516483,0.7161371237458194,0.7050792042733469,0.7542715151803278
1995-09-14,Nuwakot,27.8,85.2,0.12,83.87,13.91,78.07,20.3,15.99,24.93,16.41,8.52,21.1,1.88,4.1,0.29,3.8,1.95,3.38,0.49,2.89,1995,9,14,Autumn,21.691000000000003,1.626247736496372,1,0,22.89,0.25,4.3100000000000005,1.915,3.7399999999999998,0.6316776007497656,0.005429864253393665,0.6658304064224787,0.14788732394366194,0.09733124018838304,0.6385869565217391,0.651293976791306,0.7110072169937581
1990-10-11,Nuwakot,27.8,85.2,0.0,84.33,11.11,76.24,17.18,11.97,21.91,13.78,8.13,16.97,1.55,3.57,0.15,3.41,1.59,2.98,0.31,2.67,1990,10,11,Autumn,18.291,1.5585754451733833,0,0,20.3,0.12,5.209999999999999,1.57,3.275,0.5585754451733833,0.0,0.5253386853988962,0.07042253521126762,0.04081632653061226,0.552257525083612,0.5730106833671026,0.6575820785939711
