date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season
1993-06-23,Nawalparasi,27.6,84.0,0.12,91.91,13.46,43.3,31.24,17.13,37.32,25.26,12.06,33.19,2.34,3.5,0.67,2.84,2.74,3.66,1.24,2.42,1993,6,23,Monsoon
2000-05-02,Nawalparasi,27.6,84.0,0.03,92.15,3.28,12.12,28.98,-3.17,37.44,20.58,16.86,29.48,3.21,5.5,1.76,3.74,3.92,5.37,2.41,2.96,2000,5,2,Spring
2016-07-28,Nawalparasi,27.6,84.0,15.98,92.21,19.02,93.78,23.92,22.72,25.96,22.34,3.62,23.95,2.03,3.02,1.2,1.82,2.89,3.5,2.21,1.3,2016,7,28,Monsoon
2015-05-12,Nawalparasi,27.6,84.0,3.7,92.34,11.64,48.57,26.85,14.9,33.32,20.68,12.63,27.33,2.76,4.96,0.66,4.3,3.51,5.2,0.82,4.39,2015,5,12,Spring
1993-12-04,Nuwakot,27.8,85.2,0.0,84.25,2.53,23.74,12.42,-7.65,19.94,7.86,12.07,8.5,1.72,4.05,0.22,3.83,1.71,3.32,0.33,2.98,1993,12,4,Winter
1995-05-02,Nuwakot,27.8,85.2,0.06,83.79,4.08,18.09,24.26,-1.6,32.86,16.39,16.47,24.97,3.87,8.43,0.87,7.56,4.58,9.09,1.14,7.95,1995,5,2,Spring
1986-09-17,Nuwakot,27.8,85.2,0.69,83.96,12.83,76.42,19.36,14.54,24.45,15.44,9.02,19.77,2.15,4.67,0.12,4.55,2.17,3.84,0.21,3.63,1986,9,17,Autumn
2006-05-17,Nuwakot,27.8,85.2,0.25,84.06,11.37,54.64,22.89,12.98,28.6,17.72,10.88,24.81,2.43,4.86,0.76,4.1,2.38,4.32,0.8,3.52,2006,5,17,Spring
1995-09-14,Nuwakot,27.8,85.2,0.12,83.87,13.91,78.07,20.3,15.99,24.93,16.41,8.52,21.1,1.88,4.1,0.29,3.8,1.95,3.38,0.49,2.89,1995,9,14,Autumn
1990-10-11,Nuwakot,27.8,85.2,0.0,84.33,11.11,76.24,17.18,11.97,21.91,13.78,8.13,16.97,1.55,3.57,0.15,3.41,1.59,2.98,0.31,2.67,1990,10,11,Autumn
1993-06-23,Nuwakot,27.8,85.2,0.08,83.6,12.78,55.43,24.49,14.69,30.53,19.02,11.51,26.69,2.3,4.63,0.3,4.33,2.26,4.03,0.43,3.59,1993,6,23,Monsoon
2000-05-02,Nuwakot,27.8,85.2,0.12,83.8,3.88,19.45,22.21,-2.51,29.7,15.72,13.98,22.62,2.86,5.84,1.09,4.74,2.94,5.08,1.75,3.33,2000,5,2,Spring
2016-07-28,Nuwakot,27.8,85.2,7.12,83.78,15.98,94.81,19.36,18.06,21.37,17.77,3.6,19.46,1.27,2.93,0.19,2.74,1.42,2.61,0.24,2.37,2016,7,28,Monsoon
2015-05-12,Nuwakot,27.8,85.2,7.31,83.92,10.67,59.88,20.34,11.85,25.41,15.98,9.43,20.47,2.59,5.46,0.4,5.06,2.74,5.13,0.55,4.58,2015,5,12,Spring
1993-12-04,Okhaldhunga,27.3,86.5,0.0,83.15,2.83,27.36,11.76,-6.61,19.05,6.56,12.49,8.01,1.94,4.49,0.8,3.69,1.93,3.71,1.0,2.7,1993,12,4,Winter
1995-05-02,Okhaldhunga,27.3,86.5,0.02,82.7,4.84,23.9,22.24,0.31,30.66,14.34,16.32,22.72,3.77,7.47,1.13,6.34,4.43,7.9,1.09,6.81,1995,5,2,Spring
1986-09-17,Okhaldhunga,27.3,86.5,0.35,82.86,13.36,84.31,18.22,14.66,22.35,15.07,7.28,18.56,2.39,4.66,0.7,3.96,2.56,4.26,0.83,3.43,1986,9,17,Autumn
2006-05-17,Okhaldhunga,27.3,86.5,0.3,82.98,10.92,56.77,21.39,12.0,26.75,16.48,10.27,23.03,2.44,4.9,0.73,4.18,2.36,4.01,0.84,3.18,2006,5,17,Spring
1995-09-14,Okhaldhunga,27.3,86.5,0.02,82.79,14.0,79.58,19.87,15.67,24.36,16.41,7.95,21.2,2.23,4.62,0.39,4.24,2.24,3.99,0.48,3.5,1995,9,14,Autumn
1990-10-11,Okhaldhunga,27.3,86.5,0.0,83.24,10.25,74.16,16.15,9.89,21.57,12.52,9.04,15.78,2.12,4.82,0.77,4.05,2.17,4.33,0.86,3.48,1990,10,11,Autumn
1993-06-23,Okhaldhunga,27.3,86.5,0.88,82.55,13.71,64.25,22.98,15.46,28.29,18.37,9.92,25.16,2.38,4.56,0.61,3.95,2.26,3.73,0.4,3.33,1993,6,23,Monsoon
2000-05-02,Okhaldhunga,27.3,86.5,0.03,82.75,6.26,36.38,19.58,3.15,26.14,14.08,12.05,20.32,2.58,5.23,1.11,4.11,2.73,4.26,1.97,2.29,2000,5,2,Spring
2016-07-28,Okhaldhunga,27.3,86.5,6.38,82.7,15.87,94.98,19.01,17.6,21.55,17.01,4.54,19.46,2.27,5.1,0.46,4.64,2.42,4.78,0.67,4.11,2016,7,28,Monsoon
2015-05-12,Okhaldhunga,27.3,86.5,5.68,82.79,11.55,69.42,19.0,12.58,24.25,14.03,10.22,19.65,2.89,6.04,0.72,5.32,3.06,5.89,0.77,5.12,2015,5,12,Spring
1993-12-04,Palpa,27.9,83.5,0.0,93.16,3.05,24.8,16.17,-3.94,24.29,10.0,14.28,13.05,1.93,3.12,0.76,2.36,2.42,3.79,1.09,2.71,1993,12,4,Winter
1995-05-02,Palpa,27.9,83.5,0.0,92.31,4.46,14.41,31.33,0.93,40.18,22.49,17.68,32.07,5.2,9.46,2.17,7.29,7.19,11.07,2.55,8.52,1995,5,2,Spring
1986-09-17,Palpa,27.9,83.5,0.09,92.63,13.29,60.42,25.42,16.98,31.75,20.47,11.27,25.65,1.81,3.68,0.33,3.36,2.21,3.83,0.23,3.61,1986,9,17,Autumn
2006-05-17,Palpa,27.9,83.5,0.13,92.68,11.75,42.52,29.35,15.2,35.49,23.9,11.59,30.97,2.37,3.78,0.85,2.93,2.96,3.92,0.96,2.96,2006,5,17,Spring
1995-09-14,Palpa,27.9,83.5,0.34,92.52,16.29,74.98,25.16,20.33,29.76,21.47,8.29,25.69,1.77,3.13,0.75,2.38,2.36,3.41,0.72,2.69,1995,9,14,Autumn
1990-10-11,Palpa,27.9,83.5,0.0,93.11,13.16,71.25,22.6,17.01,27.43,18.9,8.54,22.27,1.59,3.09,0.26,2.83,2.02,3.56,0.37,3.19,1990,10,11,Autumn
1993-06-23,Palpa,27.9,83.5,0.16,92.11,13.48,42.94,31.46,17.21,37.44,25.41,12.03,33.38,2.29,3.36,0.34,3.02,2.67,3.7,0.62,3.08,1993,6,23,Monsoon
2000-05-02,Palpa,27.9,83.5,0.01,92.34,2.98,10.85,29.26,-4.2,37.79,20.73,17.05,29.8,3.14,5.29,1.59,3.69,3.89,5.18,2.19,2.99,2000,5,2,Spring
2016-07-28,Palpa,27.9,83.5,19.07,92.4,19.15,93.65,24.09,22.9,26.32,22.48,3.85,24.18,2.14,3.18,1.28,1.9,3.05,3.53,2.41,1.13,2016,7,28,Monsoon
